avg_call_stack, crate, fn_decl, callee, effect, dir, file, line, col
1, libc, libc::unix::solarish::compat::openpty, UNKNOWN_METHOD::is_null, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 100, 14
1, libc, libc::unix::solarish::mod::makedev, __makedev, [FFI Call], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, mod.rs, 3272, 4
1, libc, libc::unix::solarish::compat::openpty, UNKNOWN_METHOD::as_ptr, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 94, 37
1, libc, libc::unix::solarish::compat::getpwent_r, c_int::max_value, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 185, 20
1, libc, libc::unix::haiku::native::get_area_info, core::mem::size_of, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1242, 29
1, libc, libc::unix::linux_like::linux::musl::lfs64::fstat64, fstat, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 51, 4
1, libc, libc::unix::solarish::mod::siginfo_t::si_utime, UNKNOWN_METHOD::sidata, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, mod.rs, 1105, 42
1, libc, libc::unix::haiku::native::get_next_image_info, core::mem::size_of, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1364, 8
1, libc, libc::unix::solarish::mod::siginfo_t::si_pid, UNKNOWN_METHOD::sidata, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, mod.rs, 1097, 42
1, libc, libc::unix::solarish::compat::openpty, strcpy, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 115, 8
1, libc, libc::unix::solarish::mod::siginfo_t::si_value, UNKNOWN_METHOD::sidata, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, mod.rs, 1093, 38
1, libc, libc::unix::solarish::compat::getpwent_r, UNKNOWN_METHOD::is_null, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 188, 27
1, libc, libc::unix::solarish::compat::getpwent_r, ___errno, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 189, 9
